customer_id,credit_score,number_of_credit_accounts,total_credit_limit,total_credit_used,number_of_late_payments,bankruptcies
e19d1ec8-e8e8-4a08-8044-4f666a6878d3,622,2,49237.13,6633.26,7,0
2b35ba51-4ad4-4ca3-a20f-15ffcf9278f2,339,5,17710.35,9280.45,3,0
e413a881-8b60-4668-81fe-85f5ed8dfcba,520,6,74855.15,21951.81,8,1
b857550d-7a7b-4105-9f91-beb027a6afb9,630,1,78678.67,19693.61,5,2
16891a1a-5004-45b9-9d2a-b1480d6b5ae3,467,8,19351.17,2112.95,3,1
01c5b15f-e815-4ebc-826a-2fa5485821f5,529,10,50800.88,44328.08,1,2
13f9e7ba-a28f-43ce-9571-365ac5e3b8ab,775,3,87133.21,28233.37,4,2
e426ef05-6eb1-48e9-b74f-88c3b55f0e92,847,3,12732.89,340.36,1,2
9645d0e8-f80a-4b80-a393-dbbcf26e5c1b,781,9,60148.16,39601.4,1,0
e3afe82b-305e-432f-be76-47af19d5db58,375,6,4559.41,3073.61,3,2
df1a7f25-6b4d-4b49-bed5-1ae775b9e862,599,4,25264.36,3734.04,9,1
a095142a-677d-487f-9e95-caa5784d9912,377,2,1544.9,475.4,1,0
6e3be690-faee-41f7-8d70-4f34b46e42f9,777,7,14088.02,9336.69,10,0
c48ee896-05f9-49d9-b439-3f696a0ae89c,782,8,69733.32,1381.73,7,2
7d5d95c8-ddde-41dc-873b-85b9814e68bb,385,4,56554.02,15135.61,1,2
4b626bce-727b-494a-a226-e76bff62c616,442,7,19081.53,13793.16,1,2
b68ae53b-3f36-47d8-9706-18f9a0852a1d,361,1,80746.62,53037.83,10,1
5bd3754a-68a8-4475-8bb3-aee4ebc8bed9,723,3,82271.73,4119.07,2,2
77ead867-39b1-4585-b08c-a1a5158d9fea,440,4,4613.55,1568.82,5,2
2ee0e8d1-bc1b-48a2-b0d0-5d98e9d4c326,768,4,44776.75,260.66,10,0
328ac89a-c0de-4c54-9be3-8bf6d1c5c877,480,1,42216.33,29839.01,3,0
8178921c-a5f3-4249-8855-a07088bd4bb0,356,3,9339.47,3961.95,5,2
c1450e48-9691-404b-b670-274b6aeba809,374,9,33705.69,16996.46,3,1
ec49e564-ebc2-4e88-ab0c-1c7bab2e8790,737,7,93450.2,51660.91,10,2
3fd60eea-b1b2-45f0-90ae-3335a1ceb91b,616,1,73729.73,11793.05,5,2
de81ae78-7549-4df9-b242-cfab90db6452,334,8,24022.81,14526.62,2,0
2b0d77dd-07cd-4fa5-8233-b70688d2baa6,302,9,54197.85,39127.69,2,1
ac941efb-274d-4ee5-82d1-d0564a121835,620,6,88047.38,61115.48,7,1
