transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,merchant_name,merchant_category,location_country,location_city,is_flagged
70ca31f1-725d-43cc-be61-f7d54b269a26,6a1526e6-838d-4655-aa80-200a44798fa9,2023-03-14 11:41:50,1143.34,INR,deposit,online,Lopez-Taylor,retail,Japan,New Jennifer,False
b0ad5be4-e0ae-4735-9195-497e9c228825,0e8d90cd-a163-4c9b-a641-aef70168a8a3,2023-10-22 17:54:13,1897.78,INR,deposit,online,"Hurst, Underwood and Patel",entertainment,Japan,Turnerside,False
bad0cd19-70b4-4fe2-addb-a0a9f927ce19,af5e0d47-e529-49c7-a108-b0053819f9af,2023-07-30 06:29:27,979.89,INR,transfer,ATM,Mathis Group,Electronics,USA,Keithton,False
9c3e0f7f-47aa-412a-964b-f4a5df5c0cb7,0144511a-bab3-4536-9449-d80690d90511,2023-12-29 15:42:47,1018.43,USD,purchase,in-branch,Acosta Group,utilities,Japan,South Meganland,False
3836cf48-74a7-49be-b69f-e51023ab4a98,cc49c985-7c20-4cb2-bc16-0aabc0e7e947,2023-07-03 07:40:29,1662.77,GBP,withdrawal,ATM,"Rivera, Gonzalez and Henderson",retail,IND,West Tiffany,False
d4a1afad-4eb1-41aa-b2f4-7d0008c73963,5ea60bcd-0288-4342-8e4a-9ab19222cc2e,2023-09-18 23:11:54,146.9,USD,transfer,online,Sutton Group,travel,USA,Millermouth,False
7d426d81-9ebf-4c80-bde6-18f174a5a9bd,e28f7f7b-9028-4a1e-86f9-23bf18d9e139,2024-07-17 00:10:27,584.66,GBP,transfer,in-branch,Cooley Inc,Electronics,UK,New Randy,False
984e34a3-af70-4323-94c2-c351c4715045,dc987df3-5abf-4609-b994-4176a0b214c1,2023-06-07 03:34:11,181.93,INR,withdrawal,online,Webb Inc,Electronics,Japan,Lake Jacobmouth,False
37b1d848-8680-46fd-89ed-6ffb588f9148,2fefb6bf-bc7a-4437-ace5-6955e23210de,2024-03-22 03:13:40,37.94,INR,purchase,in-branch,Price Group,entertainment,USA,Matthewfurt,False
d181c9d9-f327-496d-b207-3e6622b089d3,92a62ff2-6499-49c8-9624-a8de5f1afcb8,2024-03-25 01:20:50,1126.75,EUR,purchase,online,Mckinney-Riley,utilities,UK,Chavezfurt,False
8031f55b-a7d8-472d-8c63-729e8d1457c2,785fc070-46a4-4e4f-88de-21dc0c1f8282,2023-02-18 22:15:18,1444.46,USD,deposit,mobile,"George, Freeman and Baird",travel,USA,Lake Josephfurt,False
217a5185-9b54-4fbe-bf20-434c076882c2,f387025d-ff31-4458-862e-68d3ac97c0e0,2023-05-05 19:39:37,1922.57,EUR,purchase,ATM,"Thompson, Campbell and Lewis",entertainment,CANADA,East Robertland,False
4b92dfaf-ef97-4c92-9cf5-552f9c86aa01,8b9c8726-8904-4229-8967-43e401d05db0,2024-06-25 00:23:12,1372.28,INR,withdrawal,online,Clay Group,entertainment,CANADA,South Christina,True
3a6c8fd2-895f-4907-bae2-979d647da27b,48483416-ac50-4b76-82af-ffafffe45093,2022-10-23 00:47:34,968.79,EUR,purchase,in-branch,Schwartz PLC,travel,CANADA,Jamesland,False
7d46c570-1335-4f38-ab18-3330b909e154,7f3605d3-50f2-4189-bba4-e319fe6be767,2024-03-04 17:41:05,1970.54,JPY,withdrawal,in-branch,"Brooks, George and Smith",travel,Germany,Colleenside,False
71415ab9-2758-498e-b7e5-23ad8b6891aa,6dc52e2d-d933-4c9b-ad9e-3a9ae841cb1d,2023-11-02 04:28:55,1625.91,GBP,transfer,ATM,Medina-Williams,Electronics,UK,North James,False
490daf49-4f59-4210-b8a1-0b84d4208039,d80a6d97-6d26-4c99-a659-97d352a031fe,2024-07-25 11:48:37,290.82,EUR,transfer,mobile,"Hutchinson, Watkins and Ramos",utilities,Japan,Dylanland,False
1cb488a1-81bc-4d91-8ba2-ec0d45b677e2,ece5f08a-dbf6-4891-81e1-de048130590b,2023-07-30 05:31:44,497.36,JPY,purchase,in-branch,"Perez, Payne and Warren",travel,USA,North Tonyview,False
50ca2a67-c679-4354-b14d-eb1dc23d99af,ac181011-d67b-4e00-90e0-4eb5bdbffa4e,2024-01-01 09:58:29,1407.99,JPY,transfer,mobile,"White, Garza and Sloan",utilities,CANADA,Peggybury,False
62b9b574-56e2-445c-93f2-d0c2621fa010,07c9d428-f194-4d5b-b41f-21f7760ea68f,2024-07-21 12:00:43,791.1,EUR,deposit,mobile,"Mccall, Owens and Fields",travel,Germany,North Kevinville,False
39ea99c8-bfe9-47bf-acdb-8a284d75298b,89631762-5827-4ef2-bfbf-f5ec0d75022e,2024-07-05 19:54:00,335.62,USD,transfer,in-branch,Bradshaw-Kelly,Electronics,CANADA,South Geoffrey,False
9baacecb-018b-44ca-a4f4-eebf5c48ddf7,0ecf8182-db32-4979-ba55-024a58cf0b88,2023-04-23 17:41:41,754.34,JPY,transfer,mobile,Johnston Inc,groceries,Japan,Thompsonview,False
c6ab2b19-adb3-4adf-819d-a48ce6b4d0b2,5f7fa65b-40e5-4145-a688-0e884b0dde36,2023-10-03 13:22:34,1882.12,JPY,purchase,mobile,"Conrad, Sherman and Mendez",groceries,Japan,Martinville,False
5f3bb2ae-ef92-466f-908a-2efda9354df0,120ae87c-3e56-4fa4-81cf-0562794f217c,2022-11-22 20:59:08,318.3,EUR,purchase,in-branch,Boyd Inc,groceries,Japan,Jodiville,False
400a5f97-af1c-44f7-8c87-b1a9210b1708,0bd8b9ae-5293-4c15-8d52-6a567b0d61ca,2024-07-19 01:07:36,1031.06,USD,deposit,online,"Hart, Hardy and Eaton",retail,Japan,Morganberg,False
5b85ef37-19c0-4cad-b9f1-e1cf20a62579,753d7176-545c-4362-9f5e-9592baa341cc,2024-03-11 17:00:57,417.76,USD,transfer,mobile,"Hughes, Hamilton and James",travel,IND,Johnchester,False
712513d1-dc02-468b-b781-b53c438fa85e,8ad400dd-11a9-4ffb-8b0d-3ff32324a27f,2024-07-29 23:57:43,996.57,JPY,purchase,in-branch,Hahn Inc,retail,IND,North Alexisburgh,False
589d6b51-f86b-44b1-8839-d5f6ac6cb19a,460da795-88f0-4db1-8480-55e050f8b03e,2023-09-25 10:45:17,257.47,INR,purchase,online,Anderson-Thornton,retail,IND,Castanedaberg,False
1821a336-0846-4219-a14e-2dd2dc07b85b,35ffc092-eee7-4e9e-9143-3b62390a6d46,2023-04-25 15:40:22,408.15,USD,withdrawal,in-branch,Miles-Fletcher,Electronics,Germany,East Jamieshire,False
553377a4-2880-4f72-b8e4-421d0c01103c,52e73ac5-cf0b-4ee6-9f50-ddc716066f6e,2024-02-24 03:50:14,910.87,USD,withdrawal,online,"Melton, Sullivan and Davis",travel,USA,Walterborough,False
6a210721-98c1-4e12-872e-6bae62300d3b,19c57c62-8485-46c2-83ee-93c93f525f4d,2022-10-18 20:05:11,1606.32,GBP,purchase,mobile,Rodriguez Group,utilities,USA,Katelynmouth,False
fe83cf33-de14-4429-9a5d-1553f0830405,328ac89a-c0de-4c54-9be3-8bf6d1c5c877,2024-04-07 19:10:31,1315.17,EUR,deposit,mobile,"Lee, Chapman and Pratt",retail,Japan,New Christineborough,False
7f344871-f3c5-4ed3-9e7f-dc45e65046ec,a9aa7180-3a46-4289-becf-bb3866cb6501,2023-07-16 23:07:33,529.42,USD,transfer,in-branch,"Benson, Hunter and Hopkins",entertainment,UK,Prattport,False
ed33dc33-e03e-4b22-b975-05d01818c5f3,ca0cee22-1b4e-4d23-832b-664fc55fa8b9,2024-03-12 03:52:22,288.67,GBP,deposit,ATM,Leonard Ltd,retail,CANADA,Paulafurt,False
8591eac0-0076-48df-9a65-3e47dcd7ad23,cb17fa99-7ebd-402b-9867-4c3bcff8b5e0,2023-06-07 02:56:02,587.98,INR,deposit,mobile,Pham-Jones,travel,UK,Mackenziebury,False
d07d9fc4-8212-4fd9-ab7b-01d16d7ea219,4f841ec6-ba6f-4041-a61e-f021e3fe43af,2022-12-09 23:16:24,22.58,JPY,deposit,online,"Phelps, Palmer and Oneill",groceries,Japan,Christopherhaven,False
dcee939f-a322-49ed-aae7-8890a1e390bd,823ec0c1-4f02-4923-9a58-6c53c13d7a9c,2022-08-15 10:43:06,648.35,JPY,deposit,online,Larson-Singh,entertainment,Japan,Danieltown,True
9398b133-086d-4ce5-a3eb-1d47daf6dc9b,623236e4-0aa3-490d-834c-54bfcf75a7b7,2023-04-27 20:32:03,1957.49,JPY,withdrawal,online,Barrett Inc,travel,UK,Myerston,False
0d20d00a-0b98-4b04-a7b4-e3d7010ff3c8,82d3e174-1076-40a4-9f01-650e170ce0c4,2023-03-17 16:49:02,11.81,GBP,deposit,mobile,"Thomas, Davies and Leblanc",Electronics,USA,Brownville,False
46e186a0-ed42-4b34-a19c-5359cba16520,2fcb0806-5f47-488c-abc5-7192c9898c92,2024-04-01 04:06:09,534.49,JPY,deposit,online,Knight Ltd,travel,CANADA,West Timothy,False
f7ba5d0a-14f5-49d4-a359-ba7ad3aa1523,61eeb913-6733-4cb4-8cc1-e373e0567204,2024-04-11 20:03:51,1702.83,GBP,withdrawal,mobile,Patel-Avery,entertainment,Japan,Kathleenside,False
